,counts,MeSH,,,,CCL20,CCL4,CCL18,CCL8,CXCL10,CXCL11,CXCL5,CXCL9,DAPK2,S100A8
160,2,(CXCL9) AND (T cells CD4 memory resting),,,,,,,,,,,,,
161,13,(CXCL9) AND (T cells CD4 memory activated),,,,,,,,,,,,,
162,12,(CXCL9) AND (T cells follicular helper),,,,,,,,,,,,,
163,16,(CXCL9) AND (T cells regulatory(Tregs)),,,,,,,,,,,,,
164,8,(CXCL9) AND (T cells gamma delta),,,,,,,,,,,,,
165,3,(CXCL9) AND (NK cells resting),,,,,,,,,,,,,
166,93,(CXCL9) AND (NK cells activated),,,,,,,,,,,,,
167,177,(CXCL9) AND (Monocytes),,,,,,,,,,,,,
168,6,(CXCL9) AND (Macrophages M0),,,,,,,,,,,,,
169,72,(CXCL9) AND (Macrophages M1),,,,,,,,,,,,,
170,55,(CXCL9) AND (Macrophages M2),,,,,,,,,,,,,
171,1,(CXCL9) AND (Dendritic cells resting),,,,,,,,,,,,,
172,101,(CXCL9) AND (Dendritic cells activated),,,,,,,,,,,,,
173,3,(CXCL9) AND (Mast cells resting),,,,,,,,,,,,,
174,14,(CXCL9) AND (Mast cells activated),,,,,,,,,,,,,
175,30,(CXCL9) AND (Eosinophils),,,,,,,,,,,,,
176,126,(CXCL9) AND (Neutrophils),,,,,,,,,,,,,
177,0,(DAPK2) AND (B cells naive),,,,,,,,,,,,,
178,0,(DAPK2) AND (B cells memory),,,,,,,,,,,,,
179,8,(DAPK2) AND (Plasma cells),,,,,,,,,,,,,
180,4,(DAPK2) AND (T cells CD8),,,,,,,,,,,,,
181,0,(DAPK2) AND (T cells CD4 naive),,,,,,,,,,,,,
182,0,(DAPK2) AND (T cells CD4 memory resting),,,,,,,,,,,,,
183,0,(DAPK2) AND (T cells CD4 memory activated),,,,,,,,,,,,,
184,0,(DAPK2) AND (T cells follicular helper),,,,,,,,,,,,,
185,0,(DAPK2) AND (T cells regulatory(Tregs)),,,,,,,,,,,,,
186,0,(DAPK2) AND (T cells gamma delta),,,,,,,,,,,,,
187,0,(DAPK2) AND (NK cells resting),,,,,,,,,,,,,
188,3,(DAPK2) AND (NK cells activated),,,,,,,,,,,,,
189,5,(DAPK2) AND (Monocytes),,,,,,,,,,,,,
190,0,(DAPK2) AND (Macrophages M0),,,,,,,,,,,,,
191,0,(DAPK2) AND (Macrophages M1),,,,,,,,,,,,,
192,2,(DAPK2) AND (Macrophages M2),,,,,,,,,,,,,
193,0,(DAPK2) AND (Dendritic cells resting),,,,,,,,,,,,,
194,6,(DAPK2) AND (Dendritic cells activated),,,,,,,,,,,,,
195,0,(DAPK2) AND (Mast cells resting),,,,,,,,,,,,,
196,0,(DAPK2) AND (Mast cells activated),,,,,,,,,,,,,
197,2,(DAPK2) AND (Eosinophils),,,,,,,,,,,,,
198,7,(DAPK2) AND (Neutrophils),,,,,,,,,,,,,
199,1,(S100A8) AND (B cells naive),,,,,,,,,,,,,
200,2,(S100A8) AND (B cells memory),,,,,,,,,,,,,
201,63,(S100A8) AND (Plasma cells),,,,,,,,,,,,,
202,23,(S100A8) AND (T cells CD8),,,,,,,,,,,,,
203,7,(S100A8) AND (T cells CD4 naive),,,,,,,,,,,,,
204,1,(S100A8) AND (T cells CD4 memory resting),,,,,,,,,,,,,
205,1,(S100A8) AND (T cells CD4 memory activated),,,,,,,,,,,,,
206,0,(S100A8) AND (T cells follicular helper),,,,,,,,,,,,,
207,4,(S100A8) AND (T cells regulatory(Tregs)),,,,,,,,,,,,,
208,2,(S100A8) AND (T cells gamma delta),,,,,,,,,,,,,
209,1,(S100A8) AND (NK cells resting),,,,,,,,,,,,,
210,21,(S100A8) AND (NK cells activated),,,,,,,,,,,,,
211,186,(S100A8) AND (Monocytes),,,,,,,,,,,,,
212,2,(S100A8) AND (Macrophages M0),,,,,,,,,,,,,
213,18,(S100A8) AND (Macrophages M1),,,,,,,,,,,,,
214,16,(S100A8) AND (Macrophages M2),,,,,,,,,,,,,
215,1,(S100A8) AND (Dendritic cells resting),,,,,,,,,,,,,
216,31,(S100A8) AND (Dendritic cells activated),,,,,,,,,,,,,
217,2,(S100A8) AND (Mast cells resting),,,,,,,,,,,,,
218,6,(S100A8) AND (Mast cells activated),,,,,,,,,,,,,
219,33,(S100A8) AND (Eosinophils),,,,,,,,,,,,,
220,353,(S100A8) AND (Neutrophils),,,,,,,,,,,,,
